defined_class	defined_class_label	attribute	attribute_label	entity	entity_label
AGRO:00010089	water pressure spraying date	PATO:0000165	time	AGRO:00000218	water pressure spraying process
AGRO:00010090	insect vacuuming date	PATO:0000165	time	AGRO:00000219	insect vacuuming process
AGRO:00010091	mowing date	PATO:0000165	time	AGRO:00000220	mowing process
AGRO:00010092	soil solarization treatment date	PATO:0000165	time	AGRO:00000208	soil solarization treatment
AGRO:00010093	broadcasting seed date	PATO:0000165	time	AGRO:00002035	broadcasting seed process
AGRO:00010094	line sowing date	PATO:0000165	time	AGRO:00002036	line sowing process
AGRO:00010095	seed dibbling date	PATO:0000165	time	AGRO:00002037	seed dibbling process
AGRO:00010096	manual plant transplanting date	PATO:0000165	time	AGRO:00002051	manual plant transplanting process
AGRO:00010097	mechanical plant transplanting date	PATO:0000165	time	AGRO:00002052	mechanical plant transplanting process
AGRO:00010098	seeding date	PATO:0000165	time	AGRO:00000142	seeding process
AGRO:00010099	agricultural experiment date	PATO:0000165	time	AGRO:00000370	agricultural experiment
AGRO:00010100	long-term experiment date	PATO:0000165	time	AGRO:00000476	long-term experiment
AGRO:00010101	short-term experiment date	PATO:0000165	time	AGRO:00000477	short-term experiment
AGRO:00010102	sequence experiment date	PATO:0000165	time	AGRO:00000478	sequence experiment
AGRO:00010103	crop rotation experiment date	PATO:0000165	time	AGRO:00000479	crop rotation experiment
AGRO:00010104	mono-cropping experiment date	PATO:0000165	time	AGRO:00000480	mono-cropping experiment
AGRO:00010105	single cycle experiment date	PATO:0000165	time	AGRO:00000482	single cycle experiment
AGRO:00010106	inter-cropping experiment date	PATO:0000165	time	AGRO:00020000	inter-cropping experiment
AGRO:00010107	crop yield experiment date	PATO:0000165	time	AGRO:01000019	crop yield experiment
AGRO:00010108	rotational grazing date	PATO:0000165	time	AGRO:00000430	rotational grazing
AGRO:00010109	continuous grazing date	PATO:0000165	time	AGRO:00000431	continuous grazing
AGRO:00010110	intensive rotational grazing date	PATO:0000165	time	AGRO:00000433	intensive rotational grazing
AGRO:00010111	creep grazing date	PATO:0000165	time	AGRO:00000436	creep grazing
AGRO:00010112	first-last grazing date	PATO:0000165	time	AGRO:00000437	first-last grazing
AGRO:00010113	holistic planned grazing date	PATO:0000165	time	AGRO:00000427	holistic planned grazing
AGRO:00010114	mob grazing date	PATO:0000165	time	AGRO:00000428	mob grazing
AGRO:00010115	strip grazing date	PATO:0000165	time	AGRO:00000432	strip grazing
AGRO:00010116	controlled grazing date	PATO:0000165	time	AGRO:00000434	controlled grazing
AGRO:00010117	hohenheim grazing system date	PATO:0000165	time	AGRO:00000435	hohenheim grazing system
AGRO:00010118	seed drilling date	PATO:0000165	time	AGRO:00002038	seed drilling process
AGRO:00010119	cold treatment weeding date	PATO:0000165	time	AGRO:00002055	cold treatment weeding process
AGRO:00010120	fire treatment weeding date	PATO:0000165	time	AGRO:00002056	fire treatment weeding process
AGRO:00010121	hand picking weeding date	PATO:0000165	time	AGRO:00002057	hand picking weeding process
AGRO:00010122	heat treatment weeding date	PATO:0000165	time	AGRO:00002058	heat treatment weeding process
AGRO:00010123	water pressure spraying weeding date	PATO:0000165	time	AGRO:00002061	water pressure spraying weeding process
AGRO:00010124	land levelling date	PATO:0000165	time	AGRO:00000004	land levelling process
AGRO:00010125	crop residue management date	PATO:0000165	time	AGRO:00000005	crop residue management process
AGRO:00010126	irrigation date	PATO:0000165	time	AGRO:00000006	irrigation process
AGRO:00010127	pest control date	PATO:0000165	time	AGRO:00000023	pest control process
AGRO:00010128	harvesting date	PATO:0000165	time	AGRO:00000025	harvesting process
AGRO:00010129	pruning date	PATO:0000165	time	AGRO:00000027	pruning process
AGRO:00010130	liming date	PATO:0000165	time	AGRO:00000112	liming process
AGRO:00010131	plant transplanting date	PATO:0000165	time	AGRO:00000229	plant transplanting process
AGRO:00010132	planting date	PATO:0000165	time	AGRO:00000231	planting process
AGRO:00010133	treatment date	PATO:0000165	time	AGRO:00000322	treatment
AGRO:00010134	propping date	PATO:0000165	time	AGRO:00000461	propping process
AGRO:00010135	storage date	PATO:0000165	time	AGRO:00000466	storage process
AGRO:00010136	crop rotation sart date	PATO:0000165	time	AGRO:00000469	crop rotation process
AGRO:00010137	sequence start date	PATO:0000165	time	AGRO:00000470	sequence process
AGRO:00010138	dessication date	PATO:0000165	time	AGRO:00000475	dessication process
AGRO:00010140	rotation phase  start date	PATO:0000165	time	AGRO:00000487	rotation phase
AGRO:00010141	much removal date	PATO:0000165	time	AGRO:00002015	much removal process
AGRO:00010142	seedbed preparation date	PATO:0000165	time	AGRO:00002034	seedbed preparation process
AGRO:00010143	agronomic fertilization date	PATO:0000165	time	AGRO:01000000	agronomic fertilization process
AGRO:00010144	crop cultivation date	PATO:0000165	time	AGRO:01000020	crop cultivation process
AGRO:00010145	relay cropping experiment date	PATO:0000165	time	AGRO:00002000	relay cropping experiment
AGRO:00010146	regulation of grazing date	PATO:0000165	time	AGRO:00000426	regulation of grazing
AGRO:00010147	chemical weeding date	PATO:0000165	time	AGRO:00002053	chemical weeding process
AGRO:00010148	mechanical control weeding date	PATO:0000165	time	AGRO:00002054	mechanical control weeding process
AGRO:00010150	soil analysis date	PATO:0000165	time	AGRO:00000349	soil analysis process
AGRO:00010151	experiment date	PATO:0000165	time	AGRO:00000369	experiment
AGRO:00000444	crop residue area density	PATO:0001351	area density	AGRO:00000154	crop residue
AGRO:00010152	wet crop residue	PATO:0001823	wet	AGRO:00000154	crop residue
AGRO:00010153	dry crop residue	PATO:0001824	dry	AGRO:00000154	crop residue
AGRO:00010154	concentration of atmospheric carbon dioxide	PATO:0000033	concentration of	ENVO:01000451	atmospheric carbon dioxide
