AGRO ID	AGRO label	AGRO definition	Agrovoc URI	Agrovoc label	
http://purl.obolibrary.org/obo/AGRO_00000473	combine harvester	An harvest implement that reaps, threshes, and cleans a crop in one operation.	http://aims.fao.org/aos/agrovoc/c_1775	combine harvesters	
http://purl.obolibrary.org/obo/AGRO_00002027	baler	An harvest implement that compresses a cut and raked crop into compact bales.	http://aims.fao.org/aos/agrovoc/c_793	balers	
http://purl.obolibrary.org/obo/AGRO_00000129	mouldboard plough	An implement that cut, lift and reverse soil with a cutting depth of approximately 15 cm.	http://aims.fao.org/aos/agrovoc/c_25695	mouldboard ploughs	
http://purl.obolibrary.org/obo/AGRO_00000130	subsoiler	An implement that typically has only one thin blade with a sharpened tip, and is used to loosen and break up soil at depths about 30 cm.	http://aims.fao.org/aos/agrovoc/c_25808	subsoilers	
http://purl.obolibrary.org/obo/AGRO_00000131	chisel plough	An implement that loosen and aerate soil without inverting or turning it.	http://aims.fao.org/aos/agrovoc/c_99dd11f2	chisel ploughs	
http://purl.obolibrary.org/obo/AGRO_00000393	cultivator	Tillage tool that stirs and pulverizes the soil, either before planting (to aerate the soil and prepare a smooth, loose seedbed) or after the crop has begun growing (to kill weeds—controlled disturbance of the topsoil close to the crop plants kills the surrounding weeds by uprooting them, burying their leaves to disrupt their photosynthesis, or a combination of both). Cultivator is designed to disturb the soil in careful patterns, sparing the crop plants but disrupting the weeds. Cultivator teeth work near the surface.	http://aims.fao.org/aos/agrovoc/c_2019	cultivators	
http://purl.obolibrary.org/obo/AGRO_00000241	irrigation equipment	An equipment that is used during an irrigation process.	http://aims.fao.org/aos/agrovoc/c_3955	irrigation equipment	
http://purl.obolibrary.org/obo/AGRO_00000075	green manure	Plants that are grown to be tilled, or cut down to lay on top of the ground for the purpose of adding organic matter and nutrients to the soil.	http://aims.fao.org/aos/agrovoc/c_3375	green manures	
http://purl.obolibrary.org/obo/AGRO_00000079	animal manure	Organic matter mostly derived from animal feces which can be used as organic fertilizer in agriculture.	http://aims.fao.org/aos/agrovoc/c_2810	farmyard manure	
http://purl.obolibrary.org/obo/AGRO_00000085	oil cake	The biomass remaining after pressing oil seeds to extract oil.	http://aims.fao.org/aos/agrovoc/c_5336	oilseed cakes	
http://purl.obolibrary.org/obo/AGRO_00000086	blood meal	Dry, inert powder made from blood. Blood usually comes from cattle or hogs as a slaughterhouse by-product.	http://aims.fao.org/aos/agrovoc/c_966	blood meal	
http://purl.obolibrary.org/obo/AGRO_00000088	oil meal	An agricultural environmental material that contains ground-biomass remaining after pressing oil seeds.	http://aims.fao.org/aos/agrovoc/c_5336	oilseed cakes	
http://purl.obolibrary.org/obo/AGRO_00020001	biofertilizer	A environmental material which contains living microorganisms, which, when applied to seeds, plant surfaces, or soil, colonize the rhizosphere or the interior of the plant and promotes growth by increasing the supply or availability of primary nutrients to the host plant.	http://aims.fao.org/aos/agrovoc/c_24975	biofertilizers	
http://purl.obolibrary.org/obo/AGRO_00002046	NPK fertilizer	A inorganic fertilizer that provides nitrogen, phosphorus, and potassium.	http://aims.fao.org/aos/agrovoc/c_5250	NPK fertilizers	
http://purl.obolibrary.org/obo/AGRO_00020007	nitrogen fertilizer	Inorganic fertilizer that contains nitrogen	http://aims.fao.org/aos/agrovoc/c_5195	nitrogen fertilizers	
http://purl.obolibrary.org/obo/AGRO_00020008	phosphorus fertilizer	Inorganic fertilizer that contains phosphorus	http://aims.fao.org/aos/agrovoc/c_5800	phosphate fertilizers	
http://purl.obolibrary.org/obo/AGRO_00020009	potassium fertilizer	Inorganic fertilizer that contains potassium	http://aims.fao.org/aos/agrovoc/c_6138	potash fertilizers	
http://purl.obolibrary.org/obo/AGRO_00002039	organic fertilizer	A material entity that has a fertilizer role and that is derived from animal or vegetable matter.	http://aims.fao.org/aos/agrovoc/c_4592	organic fertilizers	
http://purl.obolibrary.org/obo/AGRO_00002040	inorganic fertilizer	A material entity that has a fertilizer role and that is mined from mineral deposits or manufactured from synthetic compounds.	http://aims.fao.org/aos/agrovoc/c_27870	inorganic fertilizers	
http://purl.obolibrary.org/obo/AGRO_00000083	fish meal	An animal manure obtained by drying and grinding or otherwise treating fish or fish waste to which no other matter has been added.	http://aims.fao.org/aos/agrovoc/c_2925	fish meal	
http://purl.obolibrary.org/obo/AGRO_00000357	weather station	An observation post where weather conditions and meteorological data are observed and recorded and reported.	http://aims.fao.org/aos/agrovoc/c_4781	meteorological stations	
http://purl.obolibrary.org/obo/AGRO_00000009	irrigation source	A water body from which water is taken during an irrigation process and transported to the target of the irrigation process.	http://aims.fao.org/aos/agrovoc/c_330794	irrigation sources	
http://purl.obolibrary.org/obo/AGRO_00000197	liming material	An environmental material containing calcium and/or magnesium compounds  and applied to soil in order to neutralize soil acidity.	http://aims.fao.org/aos/agrovoc/c_200	liming materials	
http://purl.obolibrary.org/obo/AGRO_00000075	green manure	Plants that are grown to be tilled, or cut down to lay on top of the ground for the purpose of adding organic matter and nutrients to the soil.	http://aims.fao.org/aos/agrovoc/c_3375	green manures	
http://purl.obolibrary.org/obo/AGRO_00000085	oil cake	The biomass remaining after pressing oil seeds to extract oil.	http://aims.fao.org/aos/agrovoc/c_5336	oilseed cakes	
http://purl.obolibrary.org/obo/AGRO_00000086	blood meal	Dry, inert powder made from blood. Blood usually comes from cattle or hogs as a slaughterhouse by-product.	http://aims.fao.org/aos/agrovoc/c_966	blood meal	
http://purl.obolibrary.org/obo/AGRO_00000088	oil meal	An agricultural environmental material that contains ground-biomass remaining after pressing oil seeds.	http://aims.fao.org/aos/agrovoc/c_5336	oilseed cakes	
http://purl.obolibrary.org/obo/AGRO_00020001	biofertilizer	A environmental material which contains living microorganisms, which, when applied to seeds, plant surfaces, or soil, colonize the rhizosphere or the interior of the plant and promotes growth by increasing the supply or availability of primary nutrients to the host plant.	http://aims.fao.org/aos/agrovoc/c_24975	biofertilizers	
http://purl.obolibrary.org/obo/AGRO_00000116	draft animal	Organism used to pull agricultural implements.	http://aims.fao.org/aos/agrovoc/c_10457	draught animals	
http://purl.obolibrary.org/obo/AGRO_00000325	crop	A crop is any cultivated plant, fungus, or alga that is harvested for food, clothing, livestock,fodder, biofuel, medicine, or other uses	http://aims.fao.org/aos/agrovoc/c_1972	crops	
http://purl.obolibrary.org/obo/AGRO_00000154	crop residue	Plant material remaining on the field ground after harvesting, including leaves, stalks, roots.	http://aims.fao.org/aos/agrovoc/c_16118	crop residues	
http://purl.obolibrary.org/obo/AGRO_00000037	aerial application	An application method in which a liquid material entity is applied by aircraft to an area.	http://aims.fao.org/aos/agrovoc/c_155	aerial application	
http://purl.obolibrary.org/obo/AGRO_00000046	deep placement	An application method in which the material entity is placed in the reduced soil layer.	http://aims.fao.org/aos/agrovoc/c_2151	deep placement	
http://purl.obolibrary.org/obo/AGRO_00000047	fertigation	An application method in which a water-soluble fertilizer is injected into water flowing through an irrigation system.	http://aims.fao.org/aos/agrovoc/c_15970	fertigation	
http://purl.obolibrary.org/obo/AGRO_00000048	foliar application	An application method in which a liquid material entity is sprayed to the leafy portions of a plant.	http://aims.fao.org/aos/agrovoc/c_3008	foliar application	
http://purl.obolibrary.org/obo/AGRO_00000051	seed dressing	An application method in which a material entity is appplied directly on seeds before seeding.	http://aims.fao.org/aos/agrovoc/c_26820	seed dressing	
http://purl.obolibrary.org/obo/AGRO_00000052	soil injection	An application method in which a material entity is injected under pressure beneath the soil surface.	http://aims.fao.org/aos/agrovoc/c_7175	soil injection	
http://purl.obolibrary.org/obo/AGRO_00000053	tree injection	An application method in which a material entity is injected under the bark of trees.	http://aims.fao.org/aos/agrovoc/c_7885	tree injection	
http://purl.obolibrary.org/obo/AGRO_00000412	dibbling	An application method in which a material entity is placed into the soil in holes made with a pointed implement.	http://aims.fao.org/aos/agrovoc/c_25720	dibbling	
http://purl.obolibrary.org/obo/AGRO_00000413	drilling	An application method in which seeds are uniformlyplaced into shallow furrows before closing the furrows.	http://aims.fao.org/aos/agrovoc/c_27912	seed drilling	
http://purl.obolibrary.org/obo/AGRO_00000409	automatic irrigation	Irrigation method with no or just a minimum of manual intervention beside the surveillance. Almost every system can be automated with help of timers, sensors or computers or mechanical appliances.	http://aims.fao.org/aos/agrovoc/c_722	automatic irrigation	
http://purl.obolibrary.org/obo/AGRO_00000272	kjeldahl method	Method for the quantitative determination of organic nitrogen in chemical substance.	http://aims.fao.org/aos/agrovoc/c_25021	Kjeldahl method	
http://purl.obolibrary.org/obo/AGRO_00000329	split plot design	An experimental design that enables an additional factor or treatment to be included at more than one level	http://aims.fao.org/aos/agrovoc/c_1410249722990	split plot design	
http://purl.obolibrary.org/obo/AGRO_00000036	application method	A plan specification which describes how a material entity is applied to another material entity.	http://aims.fao.org/aos/agrovoc/c_542	application methods	
http://purl.obolibrary.org/obo/AGRO_00000054	irrigation method	A plan specification which describes how water is applied to plants or soil.	http://aims.fao.org/aos/agrovoc/c_3957	irrigation methods	
http://purl.obolibrary.org/obo/AGRO_00000202	seeding rate	The area density of a seed	http://aims.fao.org/aos/agrovoc/c_6944	sowing rates	
http://purl.obolibrary.org/obo/AGRO_00000328	slope orientation	Orientation of the slope	http://aims.fao.org/aos/agrovoc/c_1832474d	exposition	
http://purl.obolibrary.org/obo/AGRO_00000299	farm area	An area quality inhering in a farm.	http://aims.fao.org/aos/agrovoc/c_2794	farm area	
http://purl.obolibrary.org/obo/AGRO_00010002	tillage depth	The depth of a tillage process	http://aims.fao.org/aos/agrovoc/c_d349db98	ploughing depth	
http://purl.obolibrary.org/obo/AGRO_00000137	chain harrow	An implement consisting of a heavy framework having high numbers of steel tines on an harrow mat.	http://aims.fao.org/aos/agrovoc/c_0619dd9e	chain harrows	
http://purl.obolibrary.org/obo/AGRO_00000066	border irrigation process	A surface irrigation process in which water is distributed to an area divided into borders. Borders are long, sloping strips of land separated by bunds. Water is applied to the top end of borders.	http://aims.fao.org/aos/agrovoc/c_1012	border irrigation	
http://purl.obolibrary.org/obo/AGRO_00000466	storage process	A planned process in which the harvest is stored.	http://aims.fao.org/aos/agrovoc/c_10175	crop storage	
http://purl.obolibrary.org/obo/AGRO_00000040	broadcast application method	An application method which specifies how a material entity is to be uniformly applied to an area.	http://aims.fao.org/aos/agrovoc/c_1101	broadcasting	
http://purl.obolibrary.org/obo/AGRO_00000220	mowing process	A cutting process in which the above ground of the plants are cut or shred.	http://aims.fao.org/aos/agrovoc/c_12679	mowing	
http://purl.obolibrary.org/obo/AGRO_00000332	completely randomized design	An experimental design in which the treatments are assigned completely at random so that each experimental unit has the same chance of receiving any one treatment. Any difference among experimental units receiving the same treatment is considered as experimental error. Hence, it is appropriate only for experiments with homogeneous experimental units, such as laboratory experiments, where environmental effects are relatively easy to control.	http://aims.fao.org/aos/agrovoc/c_1410249605568	randomized block design	
http://purl.obolibrary.org/obo/AGRO_00000077	farm slurry	An animal manure made of animal feces and urine with no or very little material used for animal bedding.	http://aims.fao.org/aos/agrovoc/c_16602	slurry	
http://purl.obolibrary.org/obo/AGRO_00000462	haymaking process	An harvest process that involves a multiple step process to turns green, perishable, forage into a product that can be safely stored and easily transported without danger of spoilage.	http://aims.fao.org/aos/agrovoc/c_17757	haymaking	
http://purl.obolibrary.org/obo/AGRO_01000020	crop cultivation process	A planned process during which the environment of a crop plant is maintained such that the plant grows	http://aims.fao.org/aos/agrovoc/c_2018	cultivation	
http://purl.obolibrary.org/obo/AGRO_00000114	plant cutting	Piece of a plant, often piece of the stem or root, that is used for vegetative propagation.	http://aims.fao.org/aos/agrovoc/c_2048	cuttings	
http://purl.obolibrary.org/obo/AGRO_00000099	aluminum mulch	A mulch where foil is used to cover soil surface.	http://aims.fao.org/aos/agrovoc/c_207ace25	aluminum mulches	
http://purl.obolibrary.org/obo/AGRO_00000103	wood chips mulch	A mulch where wood chips are used to cover soil surface. Wood chips are a byproduct of the pruning of trees.	http://aims.fao.org/aos/agrovoc/c_207ace25	wood chips mulches	
http://purl.obolibrary.org/obo/AGRO_00000101	leave mulch	A mulch where tree leaves are used to cover soil surface.	http://aims.fao.org/aos/agrovoc/c_20c16f0f	leaf mulches	
http://purl.obolibrary.org/obo/AGRO_00000403	hand dibbler	An tool made of mild steel flat or leaf spring by forging operation. The working end is flattened and edge made sharp for easy penetration in the soil.	http://aims.fao.org/aos/agrovoc/c_2317eede	dibber  allterm dibbler	
http://purl.obolibrary.org/obo/AGRO_00000458	tree topping process	A pruning process in which whole tops of trees or large branches and/or trunks from the tops of trees are removed, leaving stubs or lateral branches that are too small to assume the role of a terminal leader.	http://aims.fao.org/aos/agrovoc/c_25090	topping (pruning)	
http://purl.obolibrary.org/obo/AGRO_00000112	liming process	A planned process in which a liming material is applied to soil to reduce acidity.	http://aims.fao.org/aos/agrovoc/c_25206	liming	
http://purl.obolibrary.org/obo/AGRO_00000055	localized irrigation process	An irrigation process in which water is distributed under low pressure through a piped network, and is applied as a small discharge to each plant or adjacent to it.	http://aims.fao.org/aos/agrovoc/c_25356	localized irrigation	
http://purl.obolibrary.org/obo/AGRO_00002037	seed dibbling process	A seeding process that consists in placing seeds in holes.	http://aims.fao.org/aos/agrovoc/c_25720	dibbling	
http://purl.obolibrary.org/obo/AGRO_00000416	agricultural implement		http://aims.fao.org/aos/agrovoc/c_25753	farm equipment	
http://purl.obolibrary.org/obo/AGRO_00000227	fertilization implement	An implement that is used during a fertilization process.	http://aims.fao.org/aos/agrovoc/c_25754	fertilizer equipment	
http://purl.obolibrary.org/obo/AGRO_00000223	tillage implement	An implement that is used during a tillage process.	http://aims.fao.org/aos/agrovoc/c_25768	tillage equipment	
http://purl.obolibrary.org/obo/AGRO_00000128	disk harrow	An implement that consists of many carbon steel or boron discs, which have many varying concavities and disc blade sizes and spacing and which are arranged into two or four sections. It is used to till the soil where crops are to be planted. It is also used to chop up unwanted weeds or crop remainders.	http://aims.fao.org/aos/agrovoc/c_25794	disc harrows	
http://purl.obolibrary.org/obo/AGRO_00000030	ridge-till	A conservation tillage process in which, in a land with permanent ridges, previous crop's residue is cleared off ridge-tops into adjacent furrows to make way for the new crop being planted on ridges.	http://aims.fao.org/aos/agrovoc/c_25818	ridge tillage	
http://purl.obolibrary.org/obo/AGRO_00000140	slurry injector	An implement designed to inject slurry into the soil.	http://aims.fao.org/aos/agrovoc/c_26094	soil injectors	
http://purl.obolibrary.org/obo/AGRO_00000482	single cycle experiment	An agricultural experiment in which a sequence of crops is grown without repetition	http://aims.fao.org/aos/agrovoc/c_26af733b	single cycle experiments	
http://purl.obolibrary.org/obo/AGRO_00020005	fish fertilizer	Fish fertilizer is any fish product that is used specifically to feed plants and soil.	http://aims.fao.org/aos/agrovoc/c_27896	fish manure	
http://purl.obolibrary.org/obo/AGRO_00002038	seed drilling process	A seeding process which is dropping the seeds in furrow lines in a continuous flow and covering them with soil.	http://aims.fao.org/aos/agrovoc/c_27912	seed drilling	
http://purl.obolibrary.org/obo/AGRO_00000343	agronomic experimental design	A plan specification that states how treatments are allocated to the experimental units during an agronomic trial. It refers to the conceptual framework within which the experiment is conducted.	http://aims.fao.org/aos/agrovoc/c_29466	experimental design	
http://purl.obolibrary.org/obo/AGRO_00000331	factorial design	An experimental design in which two or more factors, each with discrete possible values or "levels", and whose experimental units take on all possible combinations of these levels across all such factors. That is, the design provides information on the average effect of the individual factors as well as the interaction between these two factors.	http://aims.fao.org/aos/agrovoc/c_29466	factorial design	
http://purl.obolibrary.org/obo/AGRO_00000067	furrow irrigation process	A surface irrigation process in which water is carried into small channels called furrows down the land slope between the plant rows. Water is applied to the top end of each furrow and infiltrates into the soil as it moves along the slope channel.	http://aims.fao.org/aos/agrovoc/c_3154	furrow irrigation	
http://purl.obolibrary.org/obo/AGRO_00000016	reduced tillage process	A tillage process in which between, approximately, 15 to 30 percent of the soil surface is covered by plant residue after planting.	http://aims.fao.org/aos/agrovoc/c_32734	minimum tillage	
http://purl.obolibrary.org/obo/AGRO_00000021	mechanical pest control process	A pest control process in which physical means such as barriers, traps and handpicking, or physical conditions like high temperature, are used to control unwanted organisms.	http://aims.fao.org/aos/agrovoc/c_32923	mechanical control	
http://purl.obolibrary.org/obo/AGRO_00000465	trussing process	An harvest process in which herbage is put into cocks (small heaps). It is an intermediate stage of herbage drying used in some manual systems.	http://aims.fao.org/aos/agrovoc/c_32fcbe9b	trussing	
http://purl.obolibrary.org/obo/AGRO_00000478	sequence experiment	An agricultural experiment having one or more definite sequences.	http://aims.fao.org/aos/agrovoc/c_32fcbe9b	sequence experiments	
http://purl.obolibrary.org/obo/AGRO_00000022	biological pest control process	A pest control process in which organisms are employed to manage unwanted organisms.	http://aims.fao.org/aos/agrovoc/c_330635	biological pest control	
http://purl.obolibrary.org/obo/AGRO_00002053	chemical weeding process	A weeding process in which chemical is used to manage unwanted weeds.	http://aims.fao.org/aos/agrovoc/c_330678	chemical weed control	
http://purl.obolibrary.org/obo/AGRO_00000017	conservation tillage process	A tillage process in which a proportion of plant residue, left over after a harvesting process, is left relatively undisturbed on the tilled land	http://aims.fao.org/aos/agrovoc/c_33445	conservation tillage	
http://purl.obolibrary.org/obo/AGRO_00000390	fallow land	An agricultural field that is set aside for a period of time before it is cultivated again	http://aims.fao.org/aos/agrovoc/c_34007	fallow	
http://purl.obolibrary.org/obo/AGRO_00002031	bare fallow land	An fallow land that is set aside for a period of time and kept free from vegetation by cultivation.	http://aims.fao.org/aos/agrovoc/c_34009	bare fallow	
http://purl.obolibrary.org/obo/AGRO_00020003	bird guano	an animal manure composoed of the excrement of seabirds and bats.	http://aims.fao.org/aos/agrovoc/c_3414	guano	
http://purl.obolibrary.org/obo/AGRO_00000338	higher-level landform	The landform refers to the shape of the land surface in the area in which the agronomic trial site is located.	http://aims.fao.org/aos/agrovoc/c_34247ea4	landforms	
http://purl.obolibrary.org/obo/AGRO_00000015	conventional tillage process	A tillage process in which, approximately, less than 15 percent of the soil surface is covered by crop residue after planting.	http://aims.fao.org/aos/agrovoc/c_34250	conventional tillage	
http://purl.obolibrary.org/obo/AGRO_00000234	harvest implement	An implement that is used in an harvest process.	http://aims.fao.org/aos/agrovoc/c_3499	harvesters	
http://purl.obolibrary.org/obo/AGRO_00000224	land levelling implement	An implement that is used during a land levelling process.	http://aims.fao.org/aos/agrovoc/c_37266	land levelling equipment	
http://purl.obolibrary.org/obo/AGRO_00000006	irrigation process	A planned process in which water is artificially supplied to plant or soil to sustain plants. 	http://aims.fao.org/aos/agrovoc/c_3954	irrigation	
http://purl.obolibrary.org/obo/AGRO_00010015	number of irrigations	The occurrence of a irrigation process	http://aims.fao.org/aos/agrovoc/c_3956	RT irrigation scheduling	
http://purl.obolibrary.org/obo/AGRO_00000460	limbing process	A pruning process in which branches from either standing or downed trees are removed.	http://aims.fao.org/aos/agrovoc/c_4434	lopping	
http://purl.obolibrary.org/obo/AGRO_00002012	mist irrigation process	A localized irrigation process in which water is conveyed under high pressure through small nozzles and sprayed in a fine mist of water over the plants.	http://aims.fao.org/aos/agrovoc/c_4865	mist irrigation	
http://purl.obolibrary.org/obo/AGRO_00002029	mowing implement	An implement that is used in a mowing process.	http://aims.fao.org/aos/agrovoc/c_4963	mowers	
http://purl.obolibrary.org/obo/AGRO_00000111	mulching process	A planned process in which a layer of material is apply to the soil surface to conserve moisture, improve soil fertility, reduce pests population and enhance the visual appeal of the area.	http://aims.fao.org/aos/agrovoc/c_4978	mulching	
http://purl.obolibrary.org/obo/AGRO_00000476	long-term experiment	An agricultural experiment running over decadal time periods.	http://aims.fao.org/aos/agrovoc/c_4f8733aa	long term experiments	
http://purl.obolibrary.org/obo/AGRO_00000405	earth auger	Manually operated hand tool that consists of cutter head having semicircular blades connected to pipe with the help of clamp and flange. The connecting pipe is further connected to a handle.	http://aims.fao.org/aos/agrovoc/c_50115	augers	
http://purl.obolibrary.org/obo/AGRO_00000023	pest control process	A planned process in which unwanted organisms are controlled.	http://aims.fao.org/aos/agrovoc/c_5726	pest control	
http://purl.obolibrary.org/obo/AGRO_00000230	planting implement	An implement that is used in a planting process.	http://aims.fao.org/aos/agrovoc/c_5991	planting equipment	
http://purl.obolibrary.org/obo/AGRO_00000231	planting process	A planned process in which a plant reproductive material is set into the soil.	http://aims.fao.org/aos/agrovoc/c_5992	planting	
http://purl.obolibrary.org/obo/AGRO_00000027	pruning process	A planned process in which selected parts of the plant are removed. The practice entails targeted removal of diseased, damaged, dead, non-productive, structurally unsound, or otherwise unwanted tissue from plants. This is done in order to shape the plant or tree, improve plant or tree health, reduce the risk from falling branches, prepare nursery specimens for transplanting, and increase the yield or quality of harvested products.	http://aims.fao.org/aos/agrovoc/c_6274	pruning	
http://purl.obolibrary.org/obo/AGRO_00000469	crop rotation process	A planned process in which a definite cycle of crops or crop types is grown in succession on the same land.	http://aims.fao.org/aos/agrovoc/c_6662	crop rotation	
http://purl.obolibrary.org/obo/AGRO_00000039	side dressing	A band application in which the material entity is applied after seeding or planting.	http://aims.fao.org/aos/agrovoc/c_7055	sidedressing	
http://purl.obolibrary.org/obo/AGRO_00000142	seeding process	A planned process in which seeds are applied on or into the soil.	http://aims.fao.org/aos/agrovoc/c_7268	  allterm seeding	
http://purl.obolibrary.org/obo/AGRO_00000318	distance between rows	Average distance between plants in a same row.	http://aims.fao.org/aos/agrovoc/c_7272	spacing  alltterm row distance	
http://purl.obolibrary.org/obo/AGRO_00000316	distance between plants	Distance between two rows.	http://aims.fao.org/aos/agrovoc/c_7272	spacing  alltterm row distance, planting distance 	
http://purl.obolibrary.org/obo/AGRO_00000060	sprinkler irrigation process	An irrigation process in which water is distributed through a system of pipes, and is sprayed into the air through sprinklers so that it breaks up into small water drops which fall to the ground.	http://aims.fao.org/aos/agrovoc/c_7338	sprinkler irrigation	
http://purl.obolibrary.org/obo/AGRO_00000062	sub-irrigation process	An irrigation process in which water is delivered to the plant root zone from below the soil surface.	http://aims.fao.org/aos/agrovoc/c_7487	subsurface irrigation	
http://purl.obolibrary.org/obo/AGRO_00000454	threshing process	Planned process is which the edible part of the cereal grain is loosen from the scaly, inedible chaff that surrounds it. It is the step in grain preparation after harvesting and before winnowing, which separates the loosened chaff from the grain. Threshing does not remove the bran from the grain.	http://aims.fao.org/aos/agrovoc/c_7739	threshing	
http://purl.obolibrary.org/obo/AGRO_00000002	tillage process	A planned process in which soil is mechanicaly mixed, stirred or overturned.	http://aims.fao.org/aos/agrovoc/c_7771	tillage	
http://purl.obolibrary.org/obo/AGRO_00000300	field area	An area quality inhering in a field.	http://aims.fao.org/aos/agrovoc/c_77edfe55	field area	
http://purl.obolibrary.org/obo/AGRO_00000042	top dressing	A broadcast application in which a material entity is applied to an area after seedling emergence and establishment of plants.	http://aims.fao.org/aos/agrovoc/c_7813	topdressing	
http://purl.obolibrary.org/obo/AGRO_00000229	plant transplanting process	A planned process in which a plant is moved from one location to be planted in another one.	http://aims.fao.org/aos/agrovoc/c_7873	transplanting	
http://purl.obolibrary.org/obo/AGRO_00000056	drip irrigation process	A localized irrigation process in which water is conveyed under pressure through a pipe system where it drips slowly onto the soil close to the plants.	http://aims.fao.org/aos/agrovoc/c_7909	trickle irrigation  (alltterm drip irrigation)	
http://purl.obolibrary.org/obo/AGRO_00000464	baling process	An harvesting process in which dry forage is bound by ropes into a bale.	http://aims.fao.org/aos/agrovoc/c_795	baling	
